oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
19,110,2013,2013.0,20.45,1,1,2,516000.0,5.0,0,74499.0,2.7659574468085104,4.705882352941177,0.3846153846153846,2,4
6,22,2017,2017.0,14.8,3,0,2,777000.0,6.0,0,56211.0,6.170212765957447,5.882352941176471,3.8461538461538463,0,4
7,33,2019,2019.0,18.2,3,1,1,753000.0,5.0,0,9001.0,5.1063829787234045,6.470588235294118,3.8461538461538463,0,0
7,33,2017,2017.0,18.7,3,1,1,725000.0,5.0,0,23682.0,4.468085106382979,6.470588235294118,4.230769230769231,0,0
8,50,2020,2020.0,22.0,1,1,1,1150000.0,6.0,0,50000.0,6.170212765957447,5.882352941176471,3.076923076923077,2,3
13,89,2015,2015.0,25.2,1,1,2,629000.0,5.0,0,134557.0,4.893617021276596,5.882352941176471,4.230769230769231,0,0
13,90,2013,2013.0,22.41,3,1,2,447000.0,5.0,0,96567.0,4.893617021276596,5.294117647058824,3.076923076923077,0,3
7,33,2018,2018.0,18.7,3,1,1,745000.0,5.0,0,34000.0,4.468085106382979,6.470588235294118,4.615384615384615,0,0
8,43,2014,2014.0,18.9,3,0,1,490000.00000000006,4.0,0,81634.0,3.404255319148936,5.882352941176471,5.0,0,0
7,30,2017,2017.0,18.0,3,0,2,942000.0,5.0,0,57284.0,5.957446808510639,6.470588235294118,4.615384615384615,0,3
6,22,2016,2016.0,15.63,3,0,2,675000.0,6.0,0,70000.0,5.1063829787234045,7.058823529411765,4.615384615384615,2,4
7,28,2013,2013.0,19.4,3,1,2,330000.0,5.0,0,70000.0,3.191489361702128,5.294117647058824,1.9230769230769236,2,0
22,145,2018,2018.0,17.8,3,0,2,875000.0,7.0,0,46429.0,5.319148936170214,7.058823529411765,3.8461538461538463,2,3
13,74,2017,2018.0,21.4,3,1,1,869000.0,5.0,0,17624.0,5.74468085106383,6.470588235294118,4.615384615384615,0,0
